iter	Passed	Remaining
0	1	100
1	1	91
2	2	87
3	3	82
4	4	83
5	5	82
6	6	82
7	8	93
8	9	93
9	10	93
10	11	91
11	12	91
12	13	90
13	14	88
14	15	88
15	16	86
16	17	84
17	18	82
18	19	81
19	19	79
20	20	78
21	21	77
22	22	75
23	23	74
24	24	73
25	25	72
26	26	70
27	26	69
28	27	68
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	37	57
39	37	56
40	38	56
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	41
55	52	40
56	53	39
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	26
72	67	25
73	68	24
74	69	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
